year,quarter,organism_name,sightings,trips,rainy_days
2018,4,Manta ray,1,19891.034200000024,208
2018,4,Orchid,590,19891.034200000024,208
2019,1,Gouldian finch,33,21654.040399999998,204
2019,1,Manta ray,1,21654.040399999998,204
2019,1,Orchid,5,21654.040399999998,204
2019,2,Glowworm,2,22665.0703,254
2019,2,Gouldian finch,169,22665.0703,254
2019,2,Manta ray,3,22665.0703,254
2019,2,Orchid,97,22665.0703,254
2019,3,Gouldian finch,258,22846.023699999994,230
2019,3,Manta ray,6,22846.023699999994,230
2019,3,Orchid,1094,22846.023699999994,230
2019,4,Glowworm,1,21008.813099999996,140
2019,4,Gouldian finch,77,21008.813099999996,140
2019,4,Manta ray,1,21008.813099999996,140
2019,4,Orchid,366,21008.813099999996,140
2020,1,Glowworm,2,17779.1165,233
2020,1,Gouldian finch,30,17779.1165,233
2020,1,Manta ray,1,17779.1165,233
2020,1,Orchid,17,17779.1165,233
2020,2,Glowworm,1,6281.844800000007,231
2020,2,Gouldian finch,43,6281.844800000007,231
2020,2,Manta ray,27,6281.844800000007,231
2020,2,Orchid,140,6281.844800000007,231
2020,3,Glowworm,4,13066.658099999991,254
2020,3,Gouldian finch,70,13066.658099999991,254
2020,3,Orchid,2359,13066.658099999991,254
2020,4,Gouldian finch,27,15762.891100000023,190
2020,4,Manta ray,2,15762.891100000023,190
2020,4,Orchid,1214,15762.891100000023,190
2021,1,Glowworm,1,18418.79410000001,188
2021,1,Gouldian finch,39,18418.79410000001,188
2021,1,Manta ray,6,18418.79410000001,188
2021,1,Orchid,31,18418.79410000001,188
2021,2,Gouldian finch,164,19169.107600000032,181
2021,2,Manta ray,2,19169.107600000032,181
2021,2,Orchid,293,19169.107600000032,181
2021,3,Glowworm,1,10786.310400000011,229
2021,3,Gouldian finch,165,10786.310400000011,229
2021,3,Manta ray,3,10786.310400000011,229
2021,3,Orchid,2112,10786.310400000011,229
2021,4,Glowworm,3,14643.233499999997,172
2021,4,Gouldian finch,53,14643.233499999997,172
2021,4,Manta ray,3,14643.233499999997,172
2021,4,Orchid,1295,14643.233499999997,172
2022,1,Glowworm,4,18634.719399999994,181
2022,1,Gouldian finch,87,18634.719399999994,181
2022,1,Manta ray,1,18634.719399999994,181
2022,1,Orchid,35,18634.719399999994,181
2022,2,Glowworm,2,22031.71579999999,181
2022,2,Gouldian finch,353,22031.71579999999,181
2022,2,Manta ray,3,22031.71579999999,181
2022,2,Orchid,262,22031.71579999999,181
2022,3,Glowworm,3,22943.208699999996,163
2022,3,Gouldian finch,475,22943.208699999996,163
2022,3,Manta ray,18,22943.208699999996,163
2022,3,Orchid,3539,22943.208699999996,163
2022,4,Glowworm,9,20159.934700000013,196
2022,4,Gouldian finch,172,20159.934700000013,196
2022,4,Manta ray,8,20159.934700000013,196
2022,4,Orchid,1796,20159.934700000013,196
2023,1,Glowworm,4,NA,177
2023,1,Gouldian finch,49,NA,177
2023,1,Manta ray,14,NA,177
2023,1,Orchid,33,NA,177
2023,2,Glowworm,4,NA,177
2023,2,Gouldian finch,138,NA,177
2023,2,Manta ray,30,NA,177
2023,2,Orchid,365,NA,177
2023,3,Glowworm,2,NA,146
2023,3,Gouldian finch,252,NA,146
2023,3,Manta ray,10,NA,146
2023,3,Orchid,5088,NA,146
2023,4,Glowworm,4,NA,121
2023,4,Gouldian finch,61,NA,121
2023,4,Manta ray,3,NA,121
2023,4,Orchid,1826,NA,121
2024,1,Glowworm,5,NA,219
2024,1,Gouldian finch,52,NA,219
2024,1,Manta ray,7,NA,219
2024,1,Orchid,32,NA,219
2024,2,Glowworm,7,NA,140
2024,2,Gouldian finch,83,NA,140
2024,2,Manta ray,10,NA,140
2024,2,Orchid,284,NA,140
2024,3,Glowworm,8,NA,176
2024,3,Gouldian finch,18,NA,176
2024,3,Manta ray,10,NA,176
2024,3,Orchid,5838,NA,176
2024,4,Glowworm,39,NA,169
2024,4,Gouldian finch,1,NA,169
2024,4,Manta ray,12,NA,169
2024,4,Orchid,1676,NA,169
